133,11510,3,JR紀勢本線,キセイホンセン,JR紀勢本線,,
134,11511,4,JR草津線,クサツセン,JR草津線,,
135,11512,3,JR参宮線,サングウセン,JR参宮線,,
136,11513,3,JR名松線,メイショウセン,JR名松線,,
137,11601,4,琵琶湖線,ビワコセン,JR東海道本線(米原～京都),,
138,11602,4,京都線,キョウトセン,JR東海道本線(京都～大阪),,
139,11603,4,JR神戸線(大阪～神戸),コウベセン,JR東海道本線(大阪～神戸),,
140,11605,4,JR湖西線,コセイセン,JR湖西線,,
141,11607,4,大和路線,ヤマトジセン,JR関西本線(加茂～ＪＲ難波),,
142,11608,4,JR神戸線(神戸～姫路),コウベセン,JR山陽本線(神戸～姫路),,
143,11609,4,JR山陽本線(姫路～岡山),サンヨウホンセン,JR山陽本線(姫路～岡山),,
144,11610,4,JR山陽本線(岡山～三原),サンヨウホンセン,JR山陽本線(岡山～三原),,
145,11611,4,JR山陽本線(三原～岩国),サンヨウホンセン,JR山陽本線(三原～岩国),,
146,11612,4,JR山陽本線(岩国～門司),サンヨウホンセン,JR山陽本線(岩国～門司),,
147,11613,4,JR山陽本線(兵庫～和田岬),サンヨウホンセン,JR山陽本線(兵庫～和田岬),,
148,11614,4,嵯峨野線,サガノセン,JR山陰本線(京都～園部),,
149,11615,4,JR山陰本線(園部～豊岡),サンインホンセン,JR山陰本線(園部～豊岡),,
150,11616,4,JR山陰本線(豊岡～米子),サンインホンセン,JR山陰本線(豊岡～米子),,
151,11617,4,学研都市線,ガッケントシセン,JR片町線,,
152,11618,4,奈良線,ナラセン,奈良線,,
153,11622,4,JR舞鶴線,マイヅルセン,JR舞鶴線,,
154,11623,4,大阪環状線,オオサカカンジョウセン,大阪環状線,,
155,11624,4,JRゆめ咲線,ユメサキセン,JR桜島線,,
156,11625,4,JR東西線,トウザイセン,JR東西線,,
157,11626,4,阪和線(天王寺～和歌山),ハンワセン,阪和線(天王寺～和歌山),,
158,11627,4,羽衣線,ハゴロモセン,阪和線(鳳～東羽衣),,
159,11628,4,JR関西空港線,カンサイクウコウセン,JR関西空港線,,
160,11629,4,JR宝塚線,タカラヅカセン,JR福知山線(新大阪～篠山口),,
161,11630,4,福知山線(篠山口～福知山),フクチヤマセン,福知山線(篠山口～福知山),,
162,11631,4,JR赤穂線,アコウセン,JR赤穂線,,
163,11632,4,JR加古川線,カコガワセン,JR加古川線,,
164,11633,4,JR姫新線(姫路～佐用),キシンセン,JR姫新線(姫路～佐用),,
165,11634,4,JR姫新線(佐用～新見),キシンセン,JR姫新線(佐用～新見),,
166,11635,4,JR播但線,バンタンセン,JR播但線,,
167,11636,4,JR和歌山線,ワカヤマセン,JR和歌山線,,
168,11637,4,万葉まほろば線,マンヨウマホロバセン,桜井線,,
169,11639,4,きのくに線,キノクニセン,JR紀勢本線(新宮～和歌山),,
170,11640,4,紀勢本線(和歌山～和歌山市),キセイホンセン,紀勢本線(和歌山～和歌山市),,
171,11641,4,おおさか東線,オオサカヒガシセン,おおさか東線,,
172,11701,4,JR山陰本線(米子～益田),サンインホンセン,JR山陰本線(米子～益田),,
